job_number,title,company,location,description,job_url,scraped_at
1,Data Scientist (L5) - Customer Service,Netflix,United States,"Netflix is one of the world's leading entertainment services, with over 300 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can c...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4231868796&position=1&pageNum=0,2025-08-02 10:35:08
2,Cientista de Dados (GenAI/LLMs),iFood,Brazil,"Nosso modo de fazer no time

Nós, FoodLovers, temos fome de inovação e resultado. Buscamos sempre fazer o nosso melhor, pensando ""fora da caixa"" e atuando com agilidade e responsabilidade! Temos fome de diversidade, conhecimento e compartilhamento. Trabalhamos em um ambiente de muita versatilidade. ...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4277805754&position=2&pageNum=0,2025-08-02 10:35:10
3,Data Scientists,Largeton Group,United States,"Job Summary (List Format): Data Scientist


Role: Data Scientist (Remote, EST/CST time zone required; Healthcare experience or former CVS experience highly preferred)
Technical Skills:
Advanced exploratory data analysis (EDA)
Designing, training, validating, and deploying machine learning (ML) model...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4277845775&position=3&pageNum=0,2025-08-02 10:35:12
4,"Data Scientist (L5), TV Innovation",Netflix,United States,"Netflix is one of the world's leading entertainment services, with over 300 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can c...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4262549378&position=4&pageNum=0,2025-08-02 10:35:15
5,"Data Scientist, Marketing",Wealthfront,"Palo Alto, CA","The Wealthfront Data Science team utilizes our rich financial and behavioral data to influence Marketing, Product and information security decisions. The team draws from backgrounds in Computer Science, Natural Sciences, Statistics, Operations Research, Economics and Finance.




The Data Scientist ...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4274395060&position=5&pageNum=0,2025-08-02 10:35:17
6,Machine Learning Engineer (L4) - Content Production & Promotion,Netflix,United States,"Netflix is one of the world's leading entertainment services, with over 300 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can c...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4269606398&position=6&pageNum=0,2025-08-02 10:35:19
7,Machine Learning Engineer (L4) - Content Production & Promotion,Netflix,United States,"Netflix is one of the world's leading entertainment services, with over 300 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can c...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4262554060&position=7&pageNum=0,2025-08-02 10:35:21
8,Machine Learning Engineer (L4) - Content Production & Promotion,Netflix,United States,"Netflix is one of the world's leading entertainment services, with over 300 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can c...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4278560767&position=8&pageNum=0,2025-08-02 10:35:23
9,"Data Scientist, Research",Dstillery,"New York, NY","Dstillery is the leading AI ad targeting company. We empower brands and agencies to target their best prospects for high-performing programmatic advertising campaigns. Backed by our award-winning Data Science, Dstillery has earned 24 patents (and counting) for the AI technology that powers our preci...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4277209603&position=9&pageNum=0,2025-08-02 10:35:25
10,Cientista de Dados - Trabalho Remoto,BairesDev,Brazil,"Há mais de 15 anos, a BairesDev® é líder em projetos tecnológicos. Entregamos soluções inovadoras para gigantes como Google e Rolls-Royce e as startups mais inovadoras do Vale do Silício.




Temos uma equipe diversa de mais de 4.000 profissionais formada pelo Top 1% dos talentos de tecnologia do mu...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4274341691&position=10&pageNum=0,2025-08-02 10:35:28
